id,digit,anio,mes,fecha,municipio,zona,calles,inmueble,oferta,sup lote,sup constr,dormitorios,banios,garaje,nueva,costo total,repetidos,especiales,observaciones,s_mun,s_ofer,s_inm,s_dorm,s_ban,s_neo,s_lot,s_const,S_PRECIO,SL,SC,PRECIO,PLOTE,PCONST,PCOMT,PLTMT,base
1,rld,2012,10,7,Cochabamba,norte,urb vaticano,Casa en Urb.,Dueño,,,4,3,1,0,160000,,1,,cb,dueno,casurb,4,3+,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
2,rld,2012,10,7,Cochabamba,norte,urb el bosque I,Casa en Urb.,Dueño,1000,,3,2,0,0,458000,,1,,cb,dueno,casurb,3,1-2,ne,697-max,ne,194+,1,0,1,1,0,,,1.00
3,rld,2012,10,7,Cochabamba,sud,sud barrio nueva sta vera cruz calle vandiola,Casa,Dueño,,,,,,1,55000,,1,,cb,dueno,cas,NE,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,1.00
5,rld,2012,10,7,Cochabamba,este,barrio san pedro,Casa,Dueño,311,264,4,,,0,290000,,1,,cb,dueno,cas,4,ne,ne,301-430,169-272,194+,1,1,1,1,1,1098.484848,1098.484848,1.00
6,rld,2012,10,7,Cochabamba,norte,av. circunvalacion y pando,Casa,Dueño,430,,5,,1,0,345000,,1,,cb,dueno,cas,5+,ne,ne,301-430,ne,194+,1,0,1,1,0,,,1.00
7,rld,2012,10,7,Cochabamba,centro,prado,Casa,Inmobiliaria,,,,,,0,520000,,1,,cb,otro,cas,NE,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
8,rld,2012,10,7,Cochabamba,sarcobamba,urb. cerrada,Casa en Urb.,Inmobiliaria,,,,,,0,140000,,1,desglose del registro 7,cb,otro,casurb,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
9,rld,2012,10,7,Tiquipaya,tiquipaya,colegio tiquipaya,Casa,Inmobiliaria,,,,,,0,170000,,1,desglose del registro 7,tiq,otro,cas,NE,ne,ne,ne,ne,130-194,0,0,1,0,0,,,1.00
10,rld,2012,10,7,Cochabamba,sudeste,calle moxos,Casa,Dueño,325,,,,,0,,,1,,cb,dueno,cas,NE,ne,ne,301-430,ne,ne,1,0,0,0,0,,,1.00
11,rld,2012,10,7,Cochabamba,norte,av america y melchor perez,Casa,Dueño,,,5,,,0,320000,,1,,cb,dueno,cas,5+,ne,ne,ne,ne,194+,0,0,1,0,0,,,1.00
